removed_outcome_id	direct_grammar_parses	labelled_histories	stored_history_minimum	composite_lower_bound	pattern_304_min	pattern_312_min	pattern_1002_min	pattern_1023_min
138	544896	41616	1620	1614	23	3	3	20
35	287584	42432	1620	1615	23	3	4	20
100	549024	42432	1620	1614	23	3	3	20
106	544896	43928	1620	1614	23	3	3	20
144	521664	42432	1620	1614	23	3	3	20
137	287584	23120	1621	1615	23	3	3	20
142	522880	42432	1620	1614	23	3	3	20
108	544896	43928	1620	1614	23	3	3	20
149	544896	43928	1620	1614	23	3	3	20
33	401280	42432	1620	1614	23	3	3	20
0	575168	42432	1620	1614	23	3	3	20
146	521664	42432	1620	1614	23	3	3	20
127	549024	42432	1620	1614	23	3	3	20
103	549024	42432	1620	1614	23	3	3	20
125	535040	42432	1620	1614	23	3	3	20
10	544896	43928	1620	1614	23	3	3	20
117	522880	42432	1620	1614	23	3	3	20
112	575168	42432	1620	1614	23	3	3	20
130	549024	42432	1620	1614	23	3	3	20
27	431376	33813	1620	1614	23	3	3	20
148	575168	42432	1620	1614	23	3	3	20
126	535040	42432	1620	1614	23	3	3	20
143	522880	42432	1620	1614	23	3	3	20
113	544896	41616	1620	1614	23	3	3	20
116	522880	42432	1620	1614	23	3	3	20
120	549024	42432	1620	1614	23	3	3	20
129	549024	42432	1620	1614	23	3	3	20
136	549024	42432	1620	1614	23	3	3	20
111	535040	42432	1620	1614	23	3	3	20
147	521664	42432	1620	1614	23	3	3	20
119	544896	43928	1620	1614	23	3	3	20
132	544896	41616	1620	1614	23	3	3	20
31	549024	42432	1620	1614	23	3	3	20
87	544896	43928	1620	1614	23	3	3	20
122	575168	42432	1620	1614	23	3	3	20
1	575168	42432	1620	1614	23	3	3	20
110	535040	42432	1620	1614	23	3	3	20
89	544896	32368	1620	1614	23	3	3	20
26	431376	33813	1620	1614	23	3	3	20
88	544896	43928	1620	1614	23	3	3	20
28	287584	41616	1620	1615	23	3	4	20
32	561792	42432	1620	1614	23	3	3	20
105	544896	43928	1620	1614	23	3	3	20
109	267520	42432	1620	1614	23	3	3	20
39	544896	43928	1620	1615	23	3	3	21
101	544896	41616	1621	1614	23	3	3	20
30	549024	42432	1620	1614	23	3	3	20
115	544896	43928	1620	1614	23	3	3	20
140	522880	42432	1621	1614	23	3	3	20
114	521664	42432	1620	1615	23	4	3	20
123	431376	33813	1621	1614	23	3	3	20
118	544896	41616	1620	1614	23	3	3	20
139	544896	41616	1620	1614	23	3	3	20
133	544896	41616	1620	1614	23	3	3	20
121	521664	42432	1620	1614	23	3	3	20
