key	value
schema_name	wric-topology-islands-ti2-gate-c-v1
gate	TI-2-C
gate_status	closed_exact_current_replay
closed_date	2026-08-03
claim_scope	exact_direct_arbitrary_arity_collapsed_grammar_census_only
topology_island_claim	not_yet_evaluated
provider_artifact_availability	replayable_only
census_artifact_availability	replayable_only
retrieval_witness	test/topology_islands_ti2_provider_replay.sh+test/topology_islands_ti2_census_replay.sh
producer_repository	larch2-spectral
producer_base_commit	ad5a746591e22940f4ad62cc8e269ef229952e15
producer_dirty	true
producer_toolchain	gcc-trunk-17.0.0-20260604-experimental
producer_dagutil_sha256	e4643c44d2efe9f49b27e4284e30ef4d6743879ebf53efb2772a3a5d5310dc54
producer_source_state_sha256	814cde83c6aa9d92ac4f47dab0e7a0728071d99200b436c06162172dad4bf2a2
replay_manifest_sha256	f92f59c403cf5d2bed7fd4f95a320de167065a7905e47993821938ce27485572
provider_input_sha256	ae9c0c1b746439e3544eb2e8cef877c404e019d493d173a922717b1772a2b25b
provider_legacy_dag_semantic_sha256	b39fbf5d36614de8bc0a931cd21144f7c6c78208e9207d2487da0ee1020a72cd
provider_stored_history_parsimony_min	1620
provider_certificate_sha256	029ac4d0152272cd1710c1aa7ebd86f4214d8e8958a9b8e62224495576c2bf2c
normalized_identity_report_sha256	46f16a9ab4fb8cc719991f6b8585978f01d2397bcadb76478409bccfa0d180cc
seed_tree_input_sha256	2a1059432188123629169118a3cf72ec4ad377f3c8479794990e10bb7da38153
reference_input_sha256	088f7d8ebcf6277f1a971961ccaa9e797bd6e5269656e14bc782ba7fb4ec742c
reference_sha256	7d5621cd3b3e498d0c27fcca9d3d3c5168c7f3d3f9776f3005c7011bd90068ca
taxon_labels_sha256	d098bd7b3be80062028293cde42a972a291ca5e853038990a0f9af0e7392f4da
alignment_sha256	d53ea4d022385c109afa457bff8e6c4b0ae6443702ec1374469ed2d05f22afa6
site_pattern_digest	0713993b97ba82eb7af85717fbee73bf1afac86d475553b174e354f74f821d83
input_content_sha256	f009344d8c731e3365c87eb4f2132d9ca21b5b7704e8467e3ae5216fc95d9fb6
grammar_digest	b2d414b3afb295282e4ce75e7d1d524830ac6b907f76911d850713fa9cd49743
grammar_semantic_digest	6ed454ef9f8be63baf948250912a9bc50dc191ed41399f8c66c86ec1fbcad5eb
grammar_topology_count	575168
score_baseline	1616
optimal_topology_count	12
score_1617_count	164
score_1618_count	900
sankoff_verification_stride	10000
sankoff_verified_topology_count	58
historical_census_report_sha256	24b27e3cdebb807bf4f939c6d5c2c379c2c900c9a214041b4848d632d658212e
historical_histogram_sha256	323875e95ff13a5b35a746d9a772fd61bfe9fe6536238898475acc9b18d641e2
historical_minima_sha256	a97ede118315884b0d72f8609a3731e1b39b16360b1d4867cb6a7dad9c2fed39
ordinal_score_ledger_sha256	7fc216738daf2d9008bdb89b94adc6fbe947f5d8fb92957f5aeeaef0dec75986
minimum_witness_ledger_sha256	4dd773e3a5a132c2e45aed4bce05d05003039164728d08c300d888e260728562
census_semantics_sha256	6233ed70bb30f78466c7431e35ed6ce29294b9090c2854d6cf5d8256331dbe0f
w1_w8_full_ledger_equal	true
w1_w8_minimum_witness_ledger_equal	true
w1_w8_census_semantics_equal	true
w1_census_stdout_sha256	3b98f4bcc22bf7f6cf5dd118a98d137cf6463521faf4c5cd192753a61a16cb56
w8_census_stdout_sha256	cda5e1756790f5ac9bb9b3531908ce3a92dbf31671aba5879c5345688e5a7dd2
census_stderr_sha256	2e4118a77552c4bc619d0cf9c4bb6fc6499950bafea28491adc365123e786c20
w1_artifact_ledger_sha256	71bbaeb779729c9e5b1b30c309630823665addbb36177bb23c544aa9da2ee2b5
w8_artifact_ledger_sha256	935d73faa609ecb85ae5364c0d6e86cc26839970af0ba56e8cdb53bb75961c9c
parity_certificate_sha256	6b5d78fb0fd8608f03f62a7d57e7df8bed47697a930d01e93b77ea7bfd9b16bd
w1_runtime_seconds	1642.84
w8_runtime_seconds	286.49
provider_replay_ctest	passed
w1_exact_census_ctest	passed
w8_exact_census_ctest	passed
w1_w8_parity_ctest	passed
broad_slow_suite	not_run_exact_gate_shards_only
